What is an EMI?,You repay the loan in Equated Monthly Installments (EMIs) comprising both principal and interest. Repayment by way of EMI starts from the month following the month in which you take full disbursement.
How does tenure affect cost of loan?,"The longer the tenure of the loan, the lesser will be your monthly EMI outflow. Shorter tenures mean greater EMI burden, but your loan is repaid faster. If you have a short-term cash flow mismatch, your bank may increase the tenure of the loan, and your EMI burden comes down. But longer tenures mean payment of larger interest towards the loan and make it more expensive."
What is an amortization schedule?,This is a table that gives details of the periodic principal and interest payments on a loan and the amount outstanding at any point of time. It also shows the gradual decrease of the loan balance until it reaches zero.
Can an Individual have any number of Basic Savings Bank Deposit Account in one bank?,No. An individual is eligible to have only one Basic Savings Bank Deposit Account in one bank.
Whether a Basic Savings Bank Deposit Account holder can have any other saving account in that bank?,"Holders of Basic Savings Bank Deposit Account will not be eligible for opening any other savings account in that bank. If a customer has any other existing savings account in that bank, he / she will be required to close it within 30 days from the date of opening a 'Basic Savings Bank Deposit Account'."
Are all bank branches in the country part of the NEFT funds transfer network?,"For being part of the NEFT funds transfer network, a bank branch has to be NEFT- enabled. The list of bank-wise branches which are participating in NEFT is provided in the website of Reserve Bank of India at http://www.rbi.org.in/scripts/neft.aspx"
Who can transfer funds using NEFT?,"Individuals, firms or corporates maintaining accounts with a bank branch can transfer funds using NEFT. Even such individuals who do not have a bank account (walk-in customers) can also deposit cash at the NEFT-enabled branches with instructions to transfer funds using NEFT. However, such cash remittances will be restricted to a maximum of ₹ 50,000/- per transaction. Such customers have to furnish full details including complete address, telephone number, etc. NEFT, thus, facilitates originators or remitters to initiate funds transfer transactions even without having a bank account."
Who can receive funds through the NEFT system?,"Individuals, firms or corporates maintaining accounts with a bank branch can receive funds through the NEFT system. It is, therefore, necessary for the beneficiary to have an account with the NEFT enabled destination bank branch in the country. The NEFT system also facilitates one-way cross-border transfer of funds from India to Nepal. This is known as the Indo-Nepal Remittance Facility Scheme. A remitter can transfer funds from any of the NEFT-enabled branches in India to Nepal, irrespective of whether the beneficiary in Nepal maintains an account with a bank branch in Nepal or not. The beneficiary would receive funds in Nepalese Rupees."
What is NEFT?,"National Electronic Funds Transfer (NEFT) is a nation-wide payment system facilitating one-to-one funds transfer. Under this Scheme, individuals, firms and corporates can electronically transfer funds from any bank branch to any individual, firm or corporate having an account with any other bank branch in the country participating in the Scheme."
What is IFSC?,"IFSC or Indian Financial System Code is an alpha-numeric code that uniquely identifies a bank-branch participating in the NEFT system. This is an 11 digit code with the first 4 alpha characters representing the bank, and the last 6 characters representing the branch. The 5th character is 0 (zero). IFSC is used by the NEFT system to identify the originating / destination banks / branches and also to route the messages appropriately to the concerned banks / branches."
Is there any limit on the amount that could be transferred using NEFT?,"There is no limit – either minimum or maximum – on the amount of funds that could be transferred using NEFT. However, maximum amount per transaction is limited to ₹ 50,000/- for cash-based remittances within India and also for remittances to Nepal under the Indo-Nepal Remittance Facility Scheme."
Whether the system is centre-specific or has any geographical restriction?,"There is no restriction of centres or of any geographical area within the country. The NEFT system takes advantage of the core banking system in banks. Accordingly, the settlement of funds between originating and receiving banks takes places centrally at Mumbai, whereas the branches participating in NEFT can be located anywhere across the length and breadth of the country."
What are the operating hours of NEFT?,"From July 10, 2017 settlements of fund transfer requests in NEFT system is done on half-hourly basis. There are twenty three half-hourly settlement batches run from 8 am to 7 pm on all working days of week (Except 2nd and 4th Saturday of the month)."
How can the IFSC of a bank-branch be found?,"Bank-wise list of IFSCs is available with all the bank-branches participating in NEFT. List of bank-wise branches participating in NEFT and their IFSCs is available on the website of Reserve Bank of India at http://www.rbi.org.in/Scripts/bs_viewcontent.aspx?Id=2009 . All the banks have also been advised to print the IFSC of the branch on cheques issued to their customers. Further, banks have also been advised to ensure that their branch staff provide necessary assistance to customers in filling out the required details, including IFSC details, in the NEFT application form, and also help in ensuring that there is no mismatch between the IFSC code and branch details of beneficiary branch as provided by the customer."
What are the processing or service charges for NEFT transactions?,"The structure of charges that can be levied on the customer for NEFT is given below:
a) Inward transactions at destination bank branches (for credit to beneficiary accounts)
– Free, no charges to be levied on beneficiaries
b) Outward transactions at originating bank branches – charges applicable for the remitter
- For transactions up to ₹ 10,000 : not exceeding ₹ 2.50 (+ Applicable GST)
- For transactions above ₹ 10,000 up to ₹ 1 lakh: not exceeding ₹ 5 (+ Applicable GST)
- For transactions above ₹ 1 lakh and up to ₹ 2 lakhs: not exceeding ₹ 15 (+ Applicable GST)
- For transactions above ₹ 2 lakhs: not exceeding ₹ 25 (+ Applicable GST)
c) Charges applicable for transferring funds from India to Nepal using the NEFT system (under the Indo-Nepal Remittance Facility Scheme) is available on the website of RBI at http://rbi.org.in/scripts/FAQView.aspx?Id=67"
